meta_review	factor	author	year	measure	value	se	ci_lo	ci_up	n_cases	n_controls	mean_pre_cases	mean_cases	sd_pre_cases	sd_cases	mean_pre_controls	mean_controls	sd_pre_controls	sd_controls	mean_change_cases	mean_change_controls	sd_change_cases	sd_change_controls
John	Prediabetes	Dilley	1997	SMC	0.0191499840366053	0.247655095180944	-0.473605971779337	0.511905939852548	38	45	108.780433951179	103.305167206563	11.0155014786869	12.3096688161604	94.6411327379756	87.4569112050813	15.9795605018735	12.685009711422	-5.47526674461551	-7.1842215328943	7.47754900458752	9.58824368542398
John	Prediabetes	al-Rabbani	1999	SMC	0.79230929393161	0.212625806028989	0.370465750666984	1.21415283719624	40	62	92.7239201008342	97.8890454443172	15.4149246728048	10.0438650255091	104.667568990495	101.688466217602	18.8099825195968	15.1027136552148	5.16512534348294	-2.97910277289338	9.52777260704852	11.2861222026896
John	Prediabetes	Hardin	2015	SMC	2.05988442115871	0.348934136569308	1.36060478505548	2.75916405726193	29	28	109.238624820719	113.470920077525	15.5962550709955	16.1993099655956	97.7126465155743	79.0202015079558	18.2749286061153	15.5448040761985	4.23229525680654	-18.6924450076185	10.0709037968258	11.0038926668831
John	Prediabetes	Friedman	2003	SMC	1.49624431272065	0.358389361749269	0.782599920876977	2.20988870456432	35	44	114.749807512853	107.950554746203	12.0508165471256	10.9814903745428	104.461028954014	75.2582767861895	19.8440698417835	16.9269849755801	-6.79925276665017	-29.2027521678247	7.35376290278839	11.9528027233417
John	Prediabetes	Frost	2006	SMC	-1.10885314618733	0.203809382163823	-1.51215513296882	-0.705551159405836	48	81	109.076449272688	109.655701457523	17.8724215249531	13.102063795086	95.2705812519416	106.912358093541	11.9893042882904	16.4326794119552	0.579252184834331	11.6417768415995	10.7899284366461	9.92724231528299
John	Prediabetes	Harper	1995	SMC	2.18877512491158	0.332737413086092	1.52742348706714	2.85012676275602	31	58	114.751551105874	110.306889251806	17.2705453936942	15.113821644336	112.796928641386	81.568136085989	19.6272417204455	14.518114165403	-4.44466185406782	-31.2287925553974	10.4432291195457	11.8356832837589
John	Prediabetes	Gipson	2015	SMC	2.40655648716871	0.520638070408494	1.35658975195487	3.45652322238254	26	19	102.007563340012	99.5033288188279	10.9546168427914	18.7705790321343	113.728594091721	83.3081902831327	17.0243367692456	18.1255573988892	-2.50423452118412	-30.4204038085882	11.9724293871788	11.1643595513019
John	Prediabetes	el-Arafat	1999	SMC	-1.04536227664653	0.309302306763307	-1.66326466701646	-0.427459886276606	33	33	111.580706932582	95.4020706703886	17.9761910508387	14.9032541387714	107.457179357298	103.710346056614	14.3243152252398	13.1703969067894	-16.1786362621933	-3.74683330068365	10.7983535197107	8.76323537624122
John	Prediabetes	Bison	1994	SMC	0.995415480881117	0.199230204533989	0.601233641768201	1.38959731999403	51	80	113.992540949257	113.085591890849	14.907869270537	12.9782726173289	108.982887066435	96.0980341851246	19.4264746271074	15.2650757343508	-0.906949058407918	-12.8848528813105	9.00636996012734	11.6591544855676
John	Prediabetes	Pavisook	1998	SMC	2.54245739442151	0.266399202279085	2.01440795968958	3.07050682915345	55	55	91.9759342249017	109.918993413448	13.6030655261129	16.2889641011134	104.064483986702	96.2103822536301	14.2753744171932	17.5501192500815	17.9430591885466	-7.85410173307173	9.79009650428269	10.5326997044941
John	Prediabetes	Barrera	1993	SMC	-1.30816490135278	0.313982286411015	-1.93016139243385	-0.686168410271709	41	75	113.378760524793	96.0518724098802	13.1867566891015	10.9135019849055	99.9654711121693	92.2624896501657	13.7535521714017	14.8316020192578	-17.3268881149124	-7.70298146200366	7.92042707627176	9.09709164169486
John	Overweight	Cook	1985	SMC	1.95164872551133	0.233602793861056	1.48905159547565	2.41424585554701	50	70	111.841332362965	114.718744084239	10.6792985252105	15.2365894475952	96.2395091005601	79.4494094746187	16.3811384211294	10.8239937014878	2.87741172127426	-16.7900996259414	9.26581542218634	10.0898757709123
John	Overweight	Huerta	1984	SMC	1.62822078383601	0.303337426876163	1.02394164236651	2.23249992530552	32	45	97.6192518346943	114.909784295596	14.112507419195	17.90581547888	105.566714059562	104.895667600213	11.2020580307581	18.0281227873638	17.2905324609019	-0.671046459348872	10.7455836301544	11.2860972493262
John	Overweight	Kammer	1984	SMC	-0.64423629167629	0.235262665273903	-1.11142131922504	-0.177051264127538	50	45	113.61558767152	101.968083996326	15.6043238309212	17.925305776298	94.4987122998573	89.9957383226138	17.7559372922406	13.605905608274	-11.6475036751945	-4.50297397724353	10.8292136201767	10.6703798288435
John	Overweight	Getz	2016	SMC	2.64958690383924	0.277264445326083	2.100429733869	3.19874407380948	51	67	92.6698714063969	96.0308642406017	18.815223260317	13.6774169187993	114.829195370898	86.4672571071424	12.7525116316974	19.300441108644	3.36099283420481	-28.3619382637553	11.3725333670031	11.8881041520091
John	Overweight	al-Anwar	2014	SMC	1.19715793502413	0.235615601755176	0.729586441566557	1.66472942848171	49	51	100.690501023782	100.086461436003	16.4429195667617	10.8920602709986	100.806043514051	84.023463006597	19.7288006427698	10.0296664587222	-0.604039587778971	-16.7825805074535	10.1218055356888	13.1614026589571
John	Overweight	Bunyon	1980	SMC	1.28882432753324	0.217539917161405	0.857667283999364	1.71998137106711	40	71	92.6725811883807	95.8339303499088	12.4325047410093	18.8068720768206	105.800836579409	98.1038618262392	12.1274768421426	11.3294667517766	3.16134916152805	-7.69697475316934	11.5827099348688	7.45626973564694
John	Overweight	Coleman	2002	SMC	-1.26068793886744	0.206268036638026	-1.66930333076597	-0.852072546968908	53	63	104.700822794111	95.1807845663279	19.2361423047259	14.5002380223013	98.9340937109664	103.910655645886	17.8255882952362	12.0594037836418	-9.52003822778352	4.97656193492003	11.5758475366619	10.91949039997
John	Overweight	al-Halaby	2003	SMC	2.89132853684001	0.332529658512236	2.22957342695257	3.55308364672744	31	51	95.4669979959726	109.272027164698	10.222178704571	13.6340090516023	114.94042267045	101.359361669747	17.3456208687276	11.4654759992845	13.805029168725	-13.5810610007029	8.20903752647112	10.6829969386344
John	Overweight	Lopez-Hinojos	2016	SMC	2.58012589110524	0.287878774477504	2.00811689817847	3.15213488403201	42	49	96.7814941576216	106.77632484585	15.8605203335173	18.3948983321898	108.154819190968	87.2613755706698	19.3050376023166	11.8568064086139	9.99483068822883	-20.8934436202981	11.0961315534932	12.1257818444634
John	Overweight	al-Tahir	1999	SMC	2.38349820935804	0.277581806251214	1.83376198772962	2.93323443098646	55	64	111.377400617348	111.768011879176	19.4300582725555	19.8334884527139	103.624584449455	75.6532667158172	19.5294100162573	14.7813732828945	0.390611261827871	-27.971317733638	12.4221210130951	11.7478701303412
John	Overweight	el-Awan	1997	SMC	0.391305713780323	0.277667975728661	-0.163744660893586	0.946356088454232	34	30	111.712084166938	106.224680724554	18.851912887767	10.5300460080616	106.833824295551	96.3102691108361	19.5892877597362	19.4045230932534	-5.48740344238468	-10.5235551847145	12.1925416703327	12.3321714498159
John	Physically_active	Ray	2014	SMC	-0.297190811223609	0.189830526495676	-0.672979298407501	0.0785976759602836	48	76	100.748760012211	102.971475212835	13.8250112277456	18.1741262599826	96.9100408144295	102.898376837838	19.7729372582398	14.659416845534	2.2227152006235	5.98833602340892	10.9278452314772	11.9202341765089
John	Physically_active	Livingston	2010	SMC	0.168468324143044	0.1985475086596	-0.22512895521356	0.562065603499649	47	62	92.3647220805287	96.6279216948897	17.5638580345549	16.1645173002034	99.2302645454183	102.131376540056	19.7737795044668	10.6888287770562	4.26319961436093	2.90111199463718	10.7481472502923	12.9259331221727
John	Physically_active	Israel	2014	SMC	2.83587540708234	0.288895386432642	2.26304922233478	3.40870159182991	37	70	93.9710721699521	108.797263149172	13.1939817010425	16.6720458073542	111.824838597793	95.590240759775	17.2354289819486	19.0296506136656	14.82619097922	-16.2345978380181	10.0042589354776	11.5936580916022
John	Physically_active	Sosa	2018	SMC	1.48861904522315	0.213347711026853	1.06589790382617	1.91134018662013	49	65	102.478466617176	109.235223606229	17.1736275567673	10.9335654065944	114.797544608358	105.413467988838	16.7978023248725	17.0616422127932	6.75675698905252	-9.38407661952078	10.6792306699586	10.7102216960126
John	Physically_active	Haulman	2015	SMC	3.82217205862905	0.3383846715685	3.15090789471366	4.49343622254443	46	57	92.6573071605526	105.347142913379	13.886862450745	16.7665090644732	105.740719459485	75.914834839059	18.9639585930854	15.6924079707824	12.6898357528262	-29.8258846204262	10.0710499295237	11.3903078741437
John	Physically_active	Esquibel	2007	SMC	2.44558575587057	0.257553389116681	1.93573309807137	2.95543841366977	46	78	99.6507714770269	102.351788748056	11.8006310099736	17.852418012917	109.928808994126	87.1540850773454	12.9642202192917	17.0189463463612	2.70101727102883	-22.7747239167802	10.9950918582562	10.2320941795585
