meta_review	factor	author	year	measure	n_cases	n_controls	value	se	ci_lo	ci_up	mean_controls	mean_cases	sd_controls	sd_cases	rob	amstar	shared_controls
Smith	Pharmacological	Martinez	2008	SMD	88	91	1.45240022207996	0.149508017686836	1.15936450741376	1.74543593674616	101.145036488771	114.432055079378	11.1453612754121	6.46272841375321	low	14	
Smith	Pharmacological	Black	1995	SMD	192	211	0.504266901667983	0.0997380059266493	0.30878041005175	0.699753393284215	103.72899656184	110.383968926035	13.6328191845678	12.7012792765163	low	14	
Smith	Pharmacological	Ransom	2000	SMD	262	308	1.14901986339933	0.0840449114455064	0.984291836966138	1.31374788983252	104.467233463191	112.306025959551	5.03827966051176	8.45152491005138	low	14	
Smith	Pharmacological	al-Jafri	1985	SMD	321	367	2.21796034716985	0.0764202881297549	2.06817658243553	2.36774411190417	96.7799646025524	114.685458038002	5.9870168287307	9.9356307159178	low	14	
Smith	Pharmacological	Lei	2019	SMD	92	79	0.519900360327425	0.153387721364823	0.219260426452372	0.820540294202478	99.68350637611	105.692424476147	12.298735990189	10.8826868841425	low	14	
Smith	Pharmacological	Gibbs	2015	SMD	298	316	-0.47813908423879	0.0807481371922095	-0.63640543313552	-0.319872735342059	99.5168026909232	95.3060818323866	10.0609406200238	7.24231282481924	low	14	
Smith	Pharmacological	al-Saeed	1979	SMD	43	36	1.32567011989965	0.225906156913144	0.88289405234989	1.76844618744942	93.3551999581978	111.348666250706	13.1922792037949	13.8824907550588	low	14	
Smith	Pharmacological	Johnson	1983	SMD	269	288	0.919938471428874	0.0847920653197062	0.75374602340225	1.0861309194555	97.6821807576344	105.29694693163	10.3925682022236	5.12133470969275	high	14	
Smith	Pharmacological	Garcia	2009	SMD	247	270	0.476916686900615	0.0880470709317188	0.304344427874446	0.649488945926784	101.202108364552	107.136128246784	11.3004895206541	13.5817495244555	low	14	
Smith	Pharmacological	Ki	2019	SMD	94	114	0.421999496089787	0.139320593226206	0.148931133366424	0.69506785881315	99.9764097221196	104.860475361347	13.9481820585206	7.7661520219408	high	14	
Smith	Pharmacological	Collopy	2016	SMD	271	289	1.19337697256454	0.0845591184487265	1.02764110040503	1.35911284472404	100.820550519973	113.889933545142	9.1952826268971	12.5570958759636	unclear	14	
Smith	Pharmacological	Cantrell	2016	SMD	163	144	0.0945231728794576	0.114365264698674	-0.129632745929944	0.318679091688859	96.673045755364	97.4705323344097	6.54893860919401	9.80596961919218	high	14	
Smith	Pharmacological	Ortega	1985	SMD	270	254	1.53451816058003	0.0874111639192584	1.36319227929828	1.70584404186177	98.3597774589434	111.947122104466	9.23795749899	8.4779769461602	high	14	
Smith	Pharmacological	Steward	2005	SMD	343	390	1.93437832563536	0.074024012719835	1.78929126070448	2.07946539056623	93.6741327010095	109.579396145418	7.73833929793909	8.7404890707694	unclear	14	
Smith	Pharmacological	Monarrez	1994	SMD	141	134	-0.17348327376306	0.120643628711691	-0.409944786037975	0.0629782385118553	96.816798850894	95.5566450953484	7.59439784567803	6.93522014888004	high	14	
Smith	Pharmacological	Robinson	1991	SMD	231	252	0.795467526879682	0.0910892875000035	0.616932523379675	0.974002530379689	103.349408391863	112.551945592277	7.74287162814289	14.6445937710814	unclear	14	
Smith	Pharmacological	Generalao	2000	SMD	337	382	1.17216762722429	0.0747339286908264	1.02568912699027	1.31864612745831	97.2272537928075	110.220697782934	9.23480990808457	12.8649318078533	high	14	
Smith	Pharmacological	Giron Lovato	2006	SMD	72	107	0.256469221119969	0.152429273046263	-0.0422921540507071	0.555230596290645	101.371599541046	103.253826415166	8.2002959982492	5.82058144267649	unclear	14	
Smith	Pharmacological	Torres	1990	SMD	192	226	0.187409347925118	0.0981484187055262	-0.00496155273771332	0.379780248587949	94.4712263345718	96.3470108993351	10.6061210064217	9.25635585794225	low	14	
Smith	Pharmacological	al-Hamed	2011	SMD	344	389	1.39293424467321	0.0740112885416113	1.24787211913165	1.53799637021476	94.0067533990368	111.44607567694	10.6565343029797	14.3386545102112	high	14	
Smith	Pharmacological	Keyer	1985	SMD	29	64	-1.343742499493	0.223847623665496	-1.78248384187737	-0.905001157108629	103.674086532556	95.7658596290275	5.44214868685231	6.7770477803424	high	14	
Smith	Surgical	al-Salam	2016	SMD	350	370	-0.198969605581089	0.074564371920144	-0.345115774544571	-0.0528234366176062	7.17667932715267	6.65965856984258	2.02397740771994	3.09192744968459	high	8	
Smith	Surgical	Crow	2002	SMD	29	71	-0.203503956184949	0.22037982136063	-0.635448406051784	0.228440493681886	6.52403710153885	6.04376839543693	2.24415583256632	2.62734853336588	unclear	8	
Smith	Surgical	el-Ghani	1996	SMD	105	142	0.410791019798193	0.128709218958613	0.158520950639311	0.663061088957075	4.37123384303413	5.66554408404045	3.01330738607794	3.32809495087713	high	8	
Smith	Surgical	Gomen	1997	SMD	50	44	0.631653617842761	0.206705763652765	0.226510321083341	1.03679691460218	4.98266600165516	6.61248608212918	2.33902407810092	2.7747031734325	low	8	
Smith	Surgical	Wester	2000	SMD	289	280	0.0729046406454509	0.0838548518804089	-0.0914508690401506	0.237260150331052	7.59849287313409	7.82637341669761	3.35641219327226	2.88472807360813	high	8	
Smith	Surgical	Montoya	2019	SMD	295	297	-0.232589057677741	0.0821999627462077	-0.393700984660309	-0.0714771306951742	5.94344919291325	5.08811311773025	3.78639505524188	3.56441433681175	low	8	
Smith	Surgical	Le	1992	SMD	82	78	-0.821030286642563	0.158163316770142	-1.13103038751204	-0.511030185773085	7.88584717991762	6.14173987531103	2.1253103967756	2.12332162307575	high	8	
